国家/地区,点击次数,展示,点击率,排名
印度,55,972,5.66%,8.04
美国,37,2516,1.47%,11.82
英国,37,818,4.52%,9.88
法国,19,109,17.43%,5.23
德国,14,182,7.69%,12.41
俄罗斯,12,88,13.64%,9.59
沙特阿拉伯,12,54,22.22%,7.02
印度尼西亚,10,95,10.53%,7.13
巴西,9,93,9.68%,8.31
巴基斯坦,7,133,5.26%,8.18
孟加拉,7,101,6.93%,8.64
伊朗,7,45,15.56%,5.91
意大利,6,88,6.82%,7.18
西班牙,6,52,11.54%,7.33
希腊,6,47,12.77%,5.47
摩洛哥,6,37,16.22%,10.08
越南,5,228,2.19%,17.55
澳大利亚,5,176,2.84%,7.59
荷兰,5,137,3.65%,7.09
土耳其,5,60,8.33%,6.9
芬兰,5,38,13.16%,6.95
白俄罗斯,5,17,29.41%,4.76
日本,4,86,4.65%,7.1
马来西亚,4,71,5.63%,8.46
乌克兰,4,39,10.26%,8.92
比利时,4,37,10.81%,8.27
泰国,4,33,12.12%,6.55
新加坡,3,83,3.61%,22.3
阿拉伯联合酋长国,3,71,4.23%,7.18
葡萄牙,3,50,6%,12.42
波兰,3,49,6.12%,6.84
埃及,3,38,7.89%,10.89
丹麦,3,32,9.38%,5.62
保加利亚,3,20,15%,5.95
突尼斯,3,15,20%,4.67
卡塔尔,3,10,30%,5.6
埃塞俄比亚,3,9,33.33%,3.78
斯洛伐克,3,7,42.86%,6.57
加拿大,2,276,0.72%,8.47
瑞典,2,50,4%,6.74
南非,2,48,4.17%,8.71
尼泊尔,2,29,6.9%,7.24
哥伦比亚,2,29,6.9%,8.14
以色列,2,28,7.14%,8.07
奥地利,2,27,7.41%,6
斯里兰卡,2,24,8.33%,7.5
中国香港,2,21,9.52%,5.71
中国,2,21,9.52%,6.29
哥斯达黎加,2,14,14.29%,5.29
智利,2,12,16.67%,9.33
波斯尼亚和黑塞哥维那,2,11,18.18%,4.91
阿曼,2,10,20%,8.4
爱沙尼亚,2,9,22.22%,3.78
乌干达,2,8,25%,6.25
斯洛文尼亚,2,4,50%,3.5
菲律宾,1,130,0.77%,8.09
爱尔兰,1,47,2.13%,7.28
墨西哥,1,37,2.7%,13.62
挪威,1,32,3.12%,7.53
瑞士,1,27,3.7%,6.59
新西兰,1,27,3.7%,7.26
匈牙利,1,24,4.17%,6.17
罗马尼亚,1,24,4.17%,6.67
捷克,1,21,4.76%,7.67
韩国,1,20,5%,6.05
克罗地亚,1,18,5.56%,5.83
肯尼亚,1,17,5.88%,5.65
哈萨克斯坦,1,14,7.14%,8.07
拉脱维亚,1,8,12.5%,5
卢森堡,1,7,14.29%,5.86
格鲁吉亚,1,7,14.29%,9.86
加纳,1,6,16.67%,4.17
也门,1,5,20%,5.8
缅甸,1,5,20%,7.4
乌兹别克斯坦,1,5,20%,7.6
蒙古,1,4,25%,4.25
叙利亚,1,4,25%,4.75
马耳他,1,4,25%,6
波多黎各,1,4,25%,6
特立尼达和多巴哥,1,3,33.33%,2
危地马拉,1,3,33.33%,5.67
摩尔多瓦,1,3,33.33%,6.33
科特迪瓦,1,3,33.33%,7
乌拉圭,1,3,33.33%,7
科索沃,1,2,50%,1
阿富汗,1,2,50%,3
喀麦隆,1,2,50%,3.5
马达加斯加,1,2,50%,5.5
马尔代夫,1,2,50%,8
关岛,1,2,50%,10
法属圭亚那,1,1,100%,1
巴布亚新几内亚,1,1,100%,1
阿根廷,0,15,0%,6.93
阿尔及利亚,0,15,0%,8.13
约旦,0,15,0%,9.13
台湾,0,13,0%,4.92
立陶宛,0,12,0%,6.42
伊拉克,0,12,0%,7.67
尼日利亚,0,12,0%,14
委内瑞拉,0,11,0%,2.73
科威特,0,11,0%,11.27
毛里求斯,0,10,0%,7.8
秘鲁,0,9,0%,6.67
黎巴嫩,0,7,0%,5.29
塞尔维亚,0,7,0%,5.57
亚美尼亚,0,7,0%,12
厄瓜多尔,0,7,0%,14.43
巴林,0,6,0%,4.83
多米尼加共和国,0,6,0%,5.5
赞比亚,0,6,0%,5.83
马其顿,0,6,0%,7.5
阿尔巴尼亚,0,5,0%,5.8
阿塞拜疆,0,5,0%,9.4
柬埔寨,0,5,0%,11.2
利比里亚,0,4,0%,4.25
巴拿马,0,4,0%,6
洪都拉斯,0,4,0%,6.5
荷属圣马丁岛,0,4,0%,7
苏里南,0,4,0%,9
牙买加,0,3,0%,7.67
巴巴多斯,0,3,0%,8.33
巴哈马,0,3,0%,8.67
津巴布韦,0,3,0%,8.67
加勒比荷兰,0,2,0%,4
佛得角,0,2,0%,4
塞浦路斯,0,2,0%,5
巴拉圭,0,2,0%,5.5
阿鲁巴,0,2,0%,6
玻利维亚,0,2,0%,6
尼加拉瓜,0,2,0%,6
圣卢西亚,0,2,0%,9.5
土库曼斯坦,0,2,0%,10
毛里塔尼亚,0,2,0%,10.5
老挝,0,1,0%,1
索马里,0,1,0%,1
格恩西岛,0,1,0%,2
库拉索,0,1,0%,3
法罗群岛,0,1,0%,3
塞舌尔,0,1,0%,5
不丹,0,1,0%,6
圭亚那,0,1,0%,6
利比亚,0,1,0%,6
澳门,0,1,0%,6
刚果 - 金沙萨,0,1,0%,7
刚果 - 布拉柴维尔,0,1,0%,7
斐济,0,1,0%,7
多哥,0,1,0%,7
圣文森特和格林纳丁斯,0,1,0%,9
直布罗陀,0,1,0%,10
泽西岛,0,1,0%,10
圣多美和普林西比,0,1,0%,10
文莱,0,1,0%,11
马拉维,0,1,0%,11
塔吉克斯坦,0,1,0%,11
