日期,点击次数,展示,点击率,排名
2026-06-27,3,110,2.73%,10.9
2026-06-28,3,79,3.8%,9.6
2026-06-29,4,85,4.71%,11.2
2026-06-30,7,118,5.93%,10.8
2026-07-01,3,156,1.92%,9.1
2026-07-02,14,190,7.37%,8.2
2026-07-03,7,175,4%,10.2
2026-07-04,17,211,8.06%,9.7
2026-07-05,10,183,5.46%,12.5
2026-07-06,12,175,6.86%,10.1
2026-07-07,6,161,3.73%,10.8
2026-07-08,7,161,4.35%,10.5
2026-07-09,14,209,6.7%,9.3
2026-07-10,19,225,8.44%,11.2
2026-07-11,18,240,7.5%,11.9
2026-07-12,19,221,8.6%,10.6
2026-07-13,15,228,6.58%,11.6
2026-07-14,15,214,7.01%,9.7
2026-07-15,5,198,2.53%,11.5
2026-07-16,18,180,10%,9.7
2026-07-17,10,262,3.82%,9.4
2026-07-18,17,423,4.02%,7.9
2026-07-19,26,505,5.15%,8.9
2026-07-20,16,603,2.65%,7.6
2026-07-21,29,600,4.83%,8.1
2026-07-22,18,681,2.64%,9.5
2026-07-23,38,773,4.92%,10.3
2026-07-24,34,792,4.29%,10.2
