external_id,sku,name,brand,product_url,image_url,product_type,status,price,currency,shape,material,lens_width_mm,bridge_width_mm,temple_length_mm,frame_width_mm,width_class,style_tags,collection_tags,source_notes
ARTICLE-ONE-AOMW-2-0,ARTICLE-ONE/AOMW-2.0,Article One x Mission Workshop 2.0,Article One,https://www.articleoneeyewear.com/article-one-x-mission-workshop-2.0,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1828/6578/aomw2.0_front_acp__77586.1783956789.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,navigator,acetate,55,18,148,,wide,navigator|versatile|active,sunglasses|new|collaboration,Official page: $250 InStock A55 B44 ED56 DBL18 TMPL148; TR18 polarized lenses; premium acetate; unifit bridge; OBE spring hinges. Internal stable catalog key not source SKU; no fit or performance claim.
ARTICLE-ONE-AOMW,ARTICLE-ONE/AOMW,Article One x Mission Workshop,Article One,https://www.articleoneeyewear.com/article-one-x-mission-workshop,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1732/4712/aomw_vntcry_front__31804.1763568366.386.513__91231.1773429352.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,navigator,hexetate,53,17,145,,regular,navigator|versatile|active,sunglasses|collaboration,Official page: $250 InStock A53 B40 ED57 DBL17 TMPL145; hexetate; CR39 polarized lenses; adjustable nose pads; rubber temple tips; spring hinges. Internal stable catalog key not source SKU.
ARTICLE-ONE-MOON-2-0,ARTICLE-ONE/MOON-2.0,Moon 2.0,Article One,https://www.articleoneeyewear.com/moon-2.0,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1837/6536/moon_front_blk__22819.1776436619.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,square,acetate,51,19,145,,narrow,square|softened|active,sunglasses|new,Official page: $250 InStock A51 B43 ED52 DBL19 TMPL145; premium acetate; TR18 polarized lenses; unifit bridge; OBE spring hinges. Internal stable catalog key not source SKU.
ARTICLE-ONE-AVALON-2-0,ARTICLE-ONE/AVALON-2.0,Avalon 2.0,Article One,https://www.articleoneeyewear.com/avalon-2.0,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1830/6574/avalon_front_tort__33820.1778696330.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,square,acetate,53,21,147,,regular,square|double-bridge|active,sunglasses|new,Official page: $250 InStock A53 B40 ED54 DBL21 TMPL147; lightweight acetate; TR18 polarized lenses; unifit bridge; OBE spring hinges. Internal stable catalog key not source SKU.
ARTICLE-ONE-WABASIS,ARTICLE-ONE/WABASIS,Wabasis,Article One,https://www.articleoneeyewear.com/wabasis,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1842/6636/wabasis_front_abz__84688.1776961944.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,rounded,acetate,55,21,145,,wide,rounded|double-bar|active,sunglasses|new,Official page: $250 InStock A55 B52 ED56 DBL21 TMPL145; acetate; TR18 polarized lenses; double-bar brow; spring hinges; adjustable pads. Internal stable catalog key not source SKU.
ARTICLE-ONE-STONE,ARTICLE-ONE/STONE,Stone,Article One,https://www.articleoneeyewear.com/stone,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/attribute_rule_images/3001_source_1777006015.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,square,,53,19,145,,regular,square|understated|active,sunglasses|new,Official page: $250 InStock A53 B41 ED54 DBL19 TMPL145; squared unisex design; unifit bridge; TR18 polarized lenses. Material blank because not stated. Internal stable catalog key.
ARTICLE-ONE-PEARL,ARTICLE-ONE/PEARL,Pearl,Article One,https://www.articleoneeyewear.com/pearl,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1839/6620/pearl_front_acp__72968.1776961254.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,round,,51,21,145,,narrow,round|classic|active,sunglasses|new,Official page: $250 InStock A51 B44 ED52 DBL21 TMPL145; round profile; unifit bridge; TR18 polarized lenses. Material blank because not stated. Internal stable catalog key.
ARTICLE-ONE-MANISTEE,ARTICLE-ONE/MANISTEE,Manistee,Article One,https://www.articleoneeyewear.com/manistee,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1836/6593/manistee_front_blk__31202.1776956459.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,rectangle,acetate,58,14,145,,wide,rectangle|double-bar|active,sunglasses|new,Official page: $250 InStock A58 B46 ED59 DBL14 TMPL145; acetate; integrated spring hinges; adjustable pads; TR18 polarized lenses. Internal stable catalog key.
ARTICLE-ONE-GOGEBIC,ARTICLE-ONE/GOGEBIC,Gogebic,Article One,https://www.articleoneeyewear.com/gogebic,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1833/6556/gogebic_front_gold__02961.1777325973.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,aviator,stainless steel,57,16,145,,wide,aviator|double-bar|active,sunglasses|new,Official page: $250 InStock A57 B47 ED58 DBL16 TMPL145; stainless-steel double-bar; adjustable nose pads; TR18 polarized lenses. Internal stable catalog key.
ARTICLE-ONE-MYSTIC,ARTICLE-ONE/MYSTIC,Mystic,Article One,https://www.articleoneeyewear.com/products/mystic,https://cdn11.bigcommerce.com/s-6cwjlmv0px/images/stencil/3840w/products/1709/4329/mystic_clay_front_f1117bb6-eff2-43a0-8f34-e8d44ad170e4__45207.1763502374.386.513__94726.1766083782.jpg?compression=lossy,SUNGLASSES,ACTIVE,250,usd,navigator,cellulose acetate,56,16,145,,wide,navigator|timeless|active,sunglasses|active,Official page: $250 InStock A56 B47 ED64 DBL16 TMPL145; cellulose acetate; CR39 polarized lenses with backside anti-reflective coating; spring hinges; adjustable silicone nose pads; rubber temple tips.
