external_id,merchant_source_facts_reviewed,source_fact_urls,operator_enrichment_shape,operator_enrichment_width_class,operator_enrichment_style_tags,review_status,review_notes
ARTICLE-ONE-AOMW-2-0,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/article-one-x-mission-workshop-2.0,navigator,wide,navigator|versatile|active,APPROVED,Shape and width class are operator normalization from the official description and A measurement; no fit guarantee. Internal SKU is explicitly not a source fact.
ARTICLE-ONE-AOMW,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/article-one-x-mission-workshop,navigator,regular,navigator|versatile|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-MOON-2-0,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/moon-2.0,square,narrow,square|softened|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-AVALON-2-0,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/avalon-2.0,square,regular,square|double-bridge|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-WABASIS,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/wabasis,rounded,wide,rounded|double-bar|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-STONE,name; price; availability; product URL; image URL; product type; dimensions; lens feature,https://www.articleoneeyewear.com/stone,square,regular,square|understated|active,APPROVED,Material is intentionally blank because it is not stated on the reviewed official page; shape and width class are operator normalization; no fit guarantee.
ARTICLE-ONE-PEARL,name; price; availability; product URL; image URL; product type; dimensions; lens feature,https://www.articleoneeyewear.com/pearl,round,narrow,round|classic|active,APPROVED,Material is intentionally blank because it is not stated on the reviewed official page; shape and width class are operator normalization; no fit guarantee.
ARTICLE-ONE-MANISTEE,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/manistee,rectangle,wide,rectangle|double-bar|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-GOGEBIC,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/gogebic,aviator,wide,aviator|double-bar|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-MYSTIC,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/products/mystic,navigator,wide,navigator|timeless|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-MEADOW,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/products/active-meadow,round,narrow,round|upswept|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-SHADOW,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/products/shadow,aviator,wide,aviator|shallow|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-FIFE,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/fife,square,regular,square|bold|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-TERRA,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/terra,navigator,wide,navigator|double-bridge|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-LINDEN,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/linden,round,regular,round|classic|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-COREY,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/corey,square,regular,square|structured|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-HANLEY,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/hanley,oval,narrow,oval|compact|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
ARTICLE-ONE-VERMILLION,name; price; availability; product URL; image URL; product type; dimensions; material; lens feature,https://www.articleoneeyewear.com/vermillion,boxy,wide,boxy|coverage|active,APPROVED,Shape and width class are operator normalization from source description and A measurement; no fit guarantee.
