external_id,merchant_source_facts_reviewed,source_fact_urls,operator_enrichment_shape,operator_enrichment_width_class,operator_enrichment_style_tags,review_status,review_notes
50019508355374,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/bali-aviator-small-face-sunglasses",aviator,narrow,"classic|aviator|petite-fit",APPROVED,"Shape is explicit in source; narrow is relative to this curated petite catalog. No guaranteed-fit claim."
50022250807598,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/bali-aviator-small-face-sunglasses",aviator,narrow,"classic|aviator|petite-fit",APPROVED,"Shape is explicit in source; narrow is relative to this curated petite catalog. No guaranteed-fit claim."
50022381617454,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/bar-harbor-small-sunglasses-for-small-faces",round,narrow,"classic|round|retro|petite-fit",APPROVED,"Shape and acetate are explicit in source; narrow is relative to this curated petite catalog."
50022344327470,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/bar-harbor-small-sunglasses-for-small-faces",round,narrow,"classic|round|retro|petite-fit",APPROVED,"Shape and acetate are explicit in source; narrow is relative to this curated petite catalog."
50022521864494,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/half-moon-bay-cat-eye-sunglasses-for-smaller-face",cat-eye,wide,"statement|cat-eye|petite-fit",APPROVED,"Shape and widest petite width are explicit in source; wide means widest in this pilot, not standard adult sizing."
50022556303662,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/half-moon-bay-cat-eye-sunglasses-for-smaller-face",cat-eye,wide,"statement|cat-eye|petite-fit",APPROVED,"Shape and widest petite width are explicit in source; wide means widest in this pilot, not standard adult sizing."
50022429491502,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/outer-banks-sunglasses-for-small-faces",rectangle,narrow,"active|everyday|lightweight|petite-fit",APPROVED,"Rectangle is a conservative visual normalization for a classic silhouette; source explicitly states lightweight TR90 and active/everyday use."
50022431981870,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/outer-banks-sunglasses-for-small-faces",rectangle,narrow,"active|everyday|lightweight|petite-fit",APPROVED,"Rectangle is a conservative visual normalization for a classic silhouette; source explicitly states lightweight TR90 and active/everyday use."
50022493028654,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/pebble-beach-sunglasses-for-little-faces",rectangle,narrow,"polished|everyday|rectangle|petite-fit",APPROVED,"Source describes a rectangular silhouette; product copy also uses cat-eye language, so the normalized value is documented for review."
50022496993582,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/pebble-beach-sunglasses-for-little-faces",rectangle,narrow,"polished|everyday|rectangle|petite-fit",APPROVED,"Source describes a rectangular silhouette; product copy also uses cat-eye language, so the normalized value is documented for review."
50023876329774,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/south-beach-shades-for-small-faces",geometric,narrow,"bold|active|sport|petite-fit",APPROVED,"Geometric is an operator visual normalization because source says distinctive lens/frame shape; no exact shape claim is made to shoppers."
50023832289582,"name; variant; price; availability; product URL; image URL; dimensions; material; lens features","https://ellosunglasses.com/pages/petite-frame-size-guide; https://ellosunglasses.com/products/south-beach-shades-for-small-faces",geometric,narrow,"bold|active|sport|petite-fit",APPROVED,"Geometric is an operator visual normalization because source says distinctive lens/frame shape; no exact shape claim is made to shoppers."
