external_id,sku,name,brand,product_url,image_url,product_type,status,variant,color,price,currency,shape,material,lens_width_mm,bridge_width_mm,temple_length_mm,frame_width_mm,width_class,style_tags,collection_tags,source_notes
FRAMED-EWE-10472967405856-51987850428704,FRAMED-EWE/10472967405856/51987850428704,Akila Myca,Akila,https://framedewe.com/products/akila-myca-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/Myca-Akila-2641-01-01-Sunglasses-P1_9c9e3285-c966-4734-abe6-0dd366064d9b.webp?v=1784165556,SUNGLASSES,ACTIVE,0101,0101,160,usd,aviator,acetate,55,18,145,143,wide,aviator|slim|metropolitan,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states slim acetate aviator, medium fit and Frame Width 143mm, Lens Width 55mm, Bridge Width 18mm, Temple Length 145mm. Shape and width class are operator enrichment; no fit guarantee or inventory quantity claim. Internal stable key is not a source SKU."
FRAMED-EWE-10450729992480-51950719959328,FRAMED-EWE/10450729992480/51950719959328,Akila Pulse,Akila,https://framedewe.com/products/akila-pulse-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/Pulse-Akila-2640-01-01-Sunglasses-P1.webp?v=1783387869,SUNGLASSES,ACTIVE,9232,9232,160,usd,wrap,acetate,62,19,120,142,wide,wraparound|ergonomic|bold,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states wraparound design, medium fit and Frame Width 142mm, Lens Width 62mm, Bridge Width 19mm, Temple Length 120mm. Shape and width class are operator enrichment; no fit guarantee or inventory quantity claim. Internal stable key is not a source SKU."
FRAMED-EWE-10450711445792-51950692303136,FRAMED-EWE/10450711445792/51950692303136,Akila Tracer,Akila,https://framedewe.com/products/akila-tracer-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/Tracer-Akila-2647-01-01-Sunglasses-P1.webp?v=1783386996,SUNGLASSES,ACTIVE,0101,0101,160,usd,rectangle,acetate,49,24,145,146,wide,rectangular|structured|casual,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states rectangular frame, wide fit and Frame Width 146mm, Lens Width 49mm, Bridge Width 24mm, Temple Length 145mm. Shape and width class are operator enrichment; no fit guarantee or inventory quantity claim. Internal stable key is not a source SKU."
FRAMED-EWE-10450696569120-51950672609568,FRAMED-EWE/10450696569120/51950672609568,Akila Petal,Akila,https://framedewe.com/products/akila-petal-optical,https://cdn.shopify.com/s/files/1/0203/3288/files/Petal-Akila-2610-01-09-Optical-P1_a7ba757f-7b75-4ef1-8e15-56fc0a2c046f.webp?v=1783386314,OPTICAL,ACTIVE,0109,0109,220,usd,oval,titanium,50,21,145,131,narrow,oval|minimalist|optical,retailer|multi-brand|optical,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states titanium oval frame, recycled nylon, prescription-ready, narrow fit and Frame Width 131mm, Lens Width 50mm, Bridge Width 21mm, Temple Length 145mm. Prescription-ready is a source statement, not a medical or fit claim. Shape and width class are operator enrichment. Internal stable key is not a source SKU."
FRAMED-EWE-10488944066848-52016548839712,FRAMED-EWE/10488944066848/52016548839712,RIGARDS RG1091TI,RIGARDS,https://framedewe.com/products/rigards-rg1091ti-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/RG1091TIDarkGrayxGold.jpg?v=1784688248,SUNGLASSES,ACTIVE,Dark Gray and Gold,Dark Gray and Gold,826,usd,round,titanium,46,23,145,,regular,round|handmade|sun,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states titanium, polyamide nylon UV400 sun lens and measurements 46-23-145. Shape and width class are operator enrichment from official tags and measurements; no inventory quantity or fit guarantee. Internal stable key is not a source SKU."
FRAMED-EWE-10488935940384-52016531996960,FRAMED-EWE/10488935940384/52016531996960,RIGARDS RG1081AG,RIGARDS,https://framedewe.com/products/rigards-rg1081ag-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/RG1081AGAntiqueBlack_1_00507a44-018b-43ed-b4dd-e9cd7305f6bf.jpg?v=1784686673,SUNGLASSES,ACTIVE,Antique Black Sterling,Antique Black Sterling,1363,usd,rectangle,sterling silver,48,23,145,,regular,square|rectangle|handmade|sun,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states .925 sterling silver, polyamide nylon UV400 sun lens and measurements 48-23-145. Shape and width class are operator enrichment from official tags and measurements; no inventory quantity or fit guarantee. Internal stable key is not a source SKU."
FRAMED-EWE-10308458184992-51595211473184,FRAMED-EWE/10308458184992/51595211473184,RIGARDS RG1979GBS,RIGARDS,https://framedewe.com/products/rigards-rg1979gbs-optical,https://cdn.shopify.com/s/files/1/0203/3288/files/RG1979GBSBronze.jpg?v=1778276384,OPTICAL,ACTIVE,Bronze,Bronze,840,usd,aviator,titanium,59,18,142,,wide,aviator|monocoque|optical,retailer|multi-brand|optical,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states pure titanium monocoque construction, PVD coating, ZEISS lens and measurements 59-18-142. Shape and width class are operator enrichment from official tags and measurements; no inventory quantity or fit guarantee. Internal stable key is not a source SKU."
FRAMED-EWE-10308451991840-51595190042912,FRAMED-EWE/10308451991840/51595190042912,RIGARDS RG1093TI,RIGARDS,https://framedewe.com/products/rigards-rg1093ti-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/RG1093TIGreen_Gray.jpg?v=1778275010,SUNGLASSES,ACTIVE,Green,Green,755,usd,round,titanium,46,22,140,,regular,round|handmade|sun,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states titanium, polyamide nylon UV400 sun lens and measurements 46-22-140. Shape and width class are operator enrichment from official tags and measurements; no inventory quantity or fit guarantee. Internal stable key is not a source SKU."
FRAMED-EWE-10490557333792-52020703133984,FRAMED-EWE/10490557333792/52020703133984,lool Horizon 2 Sun Clip,LOOL,https://framedewe.com/products/lool-horizon-2-sun-clip-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/9-HORI2C-55S-BK_1.jpg?v=1784772799,SUNGLASSES,ACTIVE,BK,BK,89,usd,aviator,acetate,55,18,,140,wide,aviator|sun-clip|architectural,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states Bridge 18mm, Caliber 55mm and Front 140mm. Shape and width class are operator enrichment from official tags and measurements; the source lists Temple as 0mm and it is intentionally not imported as a physical dimension. No fit guarantee or inventory quantity claim. Internal stable key is not a source SKU."
FRAMED-EWE-10490544619808-52020699693344,FRAMED-EWE/10490544619808/52020699693344,lool Hangar 2 Sun Clip 49,LOOL,https://framedewe.com/products/lool-hangar-2-sun-clip-49-sunglasses,https://cdn.shopify.com/s/files/1/0203/3288/files/9-HANG2C-49S-BK_1.jpg?v=1784772458,SUNGLASSES,ACTIVE,BK,BK,89,usd,round,acetate,49,21,,134,regular,round|sun-clip|architectural,retailer|multi-brand|sunglasses,"Official Framed EWE product JSON snapshot: vendor, title, product URL, image, selected variant price and public availability state; body states Bridge 21mm, Caliber 49mm and Front 134mm. Shape and width class are operator enrichment from official tags and measurements; the source lists Temple as 0mm and it is intentionally not imported as a physical dimension. No fit guarantee or inventory quantity claim."
