external_id,sku,name,brand,product_url,image_url,product_type,status,variant,color,price,currency,shape,material,lens_width_mm,bridge_width_mm,temple_length_mm,frame_width_mm,width_class,style_tags,collection_tags,source_notes
39746693824592,LOWERCASE-ASHE-OPTICAL-39746693824592,Ashe,Lowercase NYC,https://lowercasenyc.com/products/ashe-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/ASHE_DEMI.jpg?v=1724152496,OPTICAL,ACTIVE,Demi,Demi,375.00,usd,rectangle,Italian acetate,52,21,148,,regular,classic|optical|everyday,opticals,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
41427312476240,LOWERCASE-ORWELL-OPTICAL-41427312476240,Orwell,Lowercase NYC,https://lowercasenyc.com/products/orwell-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/ORWELL_GDFK.jpg?v=1769593100,OPTICAL,ACTIVE,Gold Flake,Gold Flake,375.00,usd,rectangle,acetate,49,23,143,,narrow,classic|optical|new-release,opticals|new-release,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
40635588640848,LOWERCASE-HUDSON-OPTICAL-40635588640848,Hudson,Lowercase NYC,https://lowercasenyc.com/products/hudson-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/HUDSON_GREY.jpg?v=1724152911,OPTICAL,ACTIVE,Grey,Grey,375.00,usd,square,Italian acetate,51,21,145,,regular,structured|optical|everyday,opticals,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; square is explicit in source description; width class and style tags are operator enrichment.
41427310968912,LOWERCASE-MARION-OPTICAL-41427310968912,Marion,Lowercase NYC,https://lowercasenyc.com/products/marion-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/MARION_OXBL.jpg?v=1769593170,OPTICAL,ACTIVE,Oxblood,Oxblood,375.00,usd,rounded,acetate,50,17,145,,narrow,soft|optical|new-release,opticals|new-release,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
41156419747920,LOWERCASE-ST-MARKS-OPTICAL-41156419747920,St. Marks,Lowercase NYC,https://lowercasenyc.com/products/st-marks,https://cdn.shopify.com/s/files/1/2028/3675/files/STMARKS_SAGE.jpg?v=1769593491,OPTICAL,ACTIVE,Sage,Sage,375.00,usd,rectangle,acetate,56,20,148,,wide,vintage|optical|new-release,opticals|new-release,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; source describes vintage-influenced corner accents; shape width class and style tags are operator enrichment.
40527283781712,LOWERCASE-ATC-OPTICAL-40527283781712,Atc,Lowercase NYC,https://lowercasenyc.com/products/atc-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/ATC_CHMP.jpg?v=1769596032,OPTICAL,ACTIVE,Gold Flake,Gold Flake,375.00,usd,oval,Italian acetate,42,25,148,,narrow,distinctive|optical|art-led,opticals,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
40413544513616,LOWERCASE-BILLIE-OPTICAL-40413544513616,Billie,Lowercase NYC,https://lowercasenyc.com/products/billie-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/BILLIE_YLWT.jpg?v=1724158960,OPTICAL,ACTIVE,Yellow Tortoise,Yellow Tortoise,375.00,usd,round,Italian acetate,47,24,145,,narrow,playful|optical|unisex,opticals,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
40411655340112,LOWERCASE-ARIEL-OPTICAL-40411655340112,Ariel,Lowercase NYC,https://lowercasenyc.com/products/ariel-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/ARIEL_GREY.jpg?v=1769597237,OPTICAL,ACTIVE,Champagne,Champagne,375.00,usd,cat-eye,Italian acetate,53,17,145,,regular,bold|optical|statement,opticals,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
41156360503376,LOWERCASE-TRIBECA-OPTICAL-41156360503376,Tribeca,Lowercase NYC,https://lowercasenyc.com/products/tribeca,https://cdn.shopify.com/s/files/1/2028/3675/files/TRIBECA_IVMB.jpg?v=1769593343,OPTICAL,ACTIVE,Ivory Marble,Ivory Marble,375.00,usd,rectangle,acetate,,,145,,regular,heritage|optical|new-release,opticals|new-release,Official product page snapshot 2026-08-11; source page size is Lens 51.5 mm Bridge 22.5 mm Temple 145 mm; decimal lens and bridge values are retained here because the current importer accepts integer dimensions only; shape width class and style tags are operator enrichment.
33197074972752,LOWERCASE-CLEMENT-OPTICAL-33197074972752,Clement,Lowercase NYC,https://lowercasenyc.com/products/clement-optical,https://cdn.shopify.com/s/files/1/2028/3675/files/CLEMENT_JNPR.jpg?v=1724330934,OPTICAL,ACTIVE,Juniper,Juniper,325.00,usd,panto,Italian acetate,53,20,149,,regular,classic|optical|unisex,opticals,Official product page snapshot 2026-08-11; product type price variant image dimensions and material from source page; shape width class and style tags are operator enrichment.
41427314933840,LOWERCASE-ELMA-SUN-41427314933840,Elma,Lowercase NYC,https://lowercasenyc.com/products/elma-sunglasses,https://cdn.shopify.com/s/files/1/2028/3675/files/ELMA_BLK.jpg?v=1769592971,SUNGLASSES,ACTIVE,Black,Black,400.00,usd,rounded,Italian acetate,,,145,,regular,soft|sunglasses|new-release,sunglasses|new-release,Official product page snapshot 2026-08-11; source page size is Lens 50.5 mm Bridge 22.5 mm Temple 145 mm; decimal lens and bridge values are retained here because the current importer accepts integer dimensions only; product type material and Carl Zeiss sun lens protection claim are source facts; shape width class and style tags are operator enrichment.
