external_id,merchant_source_facts_reviewed,source_fact_urls,operator_enrichment_shape,operator_enrichment_width_class,operator_enrichment_style_tags,review_status,review_notes
39746693824592,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/ashe-optical; https://lowercasenyc.com/collections/opticals,rectangle,regular,classic|optical|everyday,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified lens and bridge dimensions; no fit guarantee.
41427312476240,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/orwell-optical; https://lowercasenyc.com/collections/opticals,rectangle,narrow,classic|optical|new-release,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
40635588640848,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/hudson-optical; https://lowercasenyc.com/collections/opticals,square,regular,structured|optical|everyday,APPROVED,Square is supported by the source description; width class is relative to this reviewed catalog; no fit guarantee.
41427310968912,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/marion-optical; https://lowercasenyc.com/collections/opticals,rounded,narrow,soft|optical|new-release,APPROVED,Shape is normalized from the product image and source description; width class is relative to this reviewed catalog; no fit guarantee.
41156419747920,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/st-marks; https://lowercasenyc.com/collections/opticals,rectangle,wide,vintage|optical|new-release,APPROVED,Shape is normalized from the product image; vintage influence is source-described; width class is relative to this reviewed catalog; no fit guarantee.
40527283781712,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/atc-optical; https://lowercasenyc.com/collections/opticals,oval,narrow,distinctive|optical|art-led,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
40413544513616,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/billie-optical; https://lowercasenyc.com/collections/opticals,round,narrow,playful|optical|unisex,APPROVED,Shape is normalized from the product image and source description; width class is relative to this reviewed catalog; no fit guarantee.
40411655340112,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/ariel-optical; https://lowercasenyc.com/collections/opticals,cat-eye,regular,bold|optical|statement,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
41156360503376,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/tribeca; https://lowercasenyc.com/collections/opticals,rectangle,regular,heritage|optical|new-release,APPROVED,Shape is normalized from the product image; heritage character is source-described; width class is relative to this reviewed catalog; no fit guarantee.
33197074972752,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://lowercasenyc.com/products/clement-optical; https://lowercasenyc.com/collections/opticals,panto,regular,classic|optical|unisex,APPROVED,Panto is normalized from the visible brow and bridge shape; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
41427314933840,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/elma-sunglasses; https://lowercasenyc.com/collections/sunglasses,rounded,regular,soft|sunglasses|new-release,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog; no fit guarantee.
41427314868304,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/caitlin-sunglasses; https://lowercasenyc.com/collections/sunglasses,cat-eye,regular,classic|sunglasses|new-release,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog; no fit guarantee.
41427313623120,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/jay-sunglasses; https://lowercasenyc.com/collections/sunglasses,rectangle,regular,clean|sunglasses|new-release,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
41427313393744,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/dix-sunglasses; https://lowercasenyc.com/collections/sunglasses,rounded,regular,playful|sunglasses|new-release,APPROVED,Shape is normalized from the product image and source description; width class is relative to this reviewed catalog; no fit guarantee.
41156443373648,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/beacon; https://lowercasenyc.com/collections/sunglasses,rectangle,wide,minimal|sunglasses|new-release,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
41156420075600,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/st-marks-sun; https://lowercasenyc.com/collections/sunglasses,rectangle,wide,vintage|sunglasses|new-release,APPROVED,Shape is normalized from the product image; vintage influence is source-described; width class is relative to this reviewed catalog; no fit guarantee.
41156365058128,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/alma-sun; https://lowercasenyc.com/collections/sunglasses,cat-eye,regular,heritage|sunglasses|new-release|celebrity-favorites,APPROVED,Shape is normalized from the product image; heritage and celebrity-favorites collection membership are source-backed; width class is relative to this reviewed catalog; no fit guarantee.
40527342960720,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/lindon-sun; https://lowercasenyc.com/collections/sunglasses,oval,narrow,distinctive|sunglasses,APPROVED,Shape is normalized from the product image; width class is relative to this reviewed catalog using verified dimensions; no fit guarantee.
40527339225168,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/compass-sun; https://lowercasenyc.com/collections/sunglasses,cat-eye,narrow,statement|sunglasses|cat-eye,APPROVED,Cat-eye influence is explicit in the source description; width class is relative to this reviewed catalog; no fit guarantee.
41134597046352,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material; lens protection,https://lowercasenyc.com/products/steeplechase-sun; https://lowercasenyc.com/collections/sunglasses,cat-eye,regular,bold|sunglasses|cat-eye|celebrity-favorites,APPROVED,Cat-eye and bold character are source-described; width class is relative to this reviewed catalog; no fit guarantee.
